Timestamp,CPU,Memory
1766527008.39725,1.20%,4.465GiB
1766527010.912413,4.83%,4.467GiB
1766527012.9228082,263.92%,4.51GiB
1766527014.927296,121.07%,4.516GiB
1766527016.935561,277.99%,4.534GiB
1766527018.937809,198.78%,4.55GiB
1766527020.941659,124.46%,4.56GiB
1766527022.947762,107.17%,4.565GiB
1766527024.97013,177.70%,4.572GiB
1766527026.9708958,184.17%,4.575GiB
1766527028.975651,147.78%,4.576GiB
1766527030.9764962,106.86%,4.578GiB
1766527032.982261,97.24%,4.579GiB
1766527034.989196,148.27%,4.581GiB
1766527036.997107,176.29%,4.584GiB
1766527039.0051992,111.83%,4.587GiB
1766527041.008209,107.01%,4.589GiB
1766527043.012929,103.15%,4.592GiB
1766527045.020073,144.26%,4.595GiB
1766527047.026198,167.27%,4.598GiB
1766527049.032932,166.91%,4.6GiB
1766527051.03691,163.78%,4.604GiB
1766527053.0494442,212.47%,4.61GiB
1766527055.054919,127.43%,4.611GiB
1766527057.06399,184.14%,4.613GiB
1766527059.063275,187.81%,4.616GiB
1766527061.07162,148.26%,4.617GiB
1766527063.079102,98.93%,4.617GiB
1766527065.089617,101.43%,4.619GiB
1766527067.087685,151.38%,4.62GiB
1766527069.1003368,168.50%,4.621GiB
1766527071.100106,110.61%,4.624GiB
1766527073.1076832,102.51%,4.611GiB
1766527075.121459,97.24%,4.613GiB
1766527077.1235368,117.88%,4.617GiB
1766527079.126745,131.16%,4.619GiB
1766527081.138394,149.31%,4.621GiB
1766527083.137563,223.52%,4.623GiB
1766527085.1494641,225.57%,4.626GiB
1766527087.147415,246.62%,4.633GiB
1766527089.197095,105.37%,4.629GiB
1766527091.167171,96.04%,4.629GiB
1766527093.170986,133.73%,4.631GiB
1766527095.182127,156.79%,4.632GiB
1766527097.192919,173.75%,4.634GiB
1766527099.191155,172.19%,4.635GiB
1766527101.1973891,97.38%,4.638GiB
1766527103.199324,148.83%,4.641GiB
1766527105.207778,97.73%,4.642GiB
1766527107.2180102,124.61%,4.644GiB
1766527109.223413,168.42%,4.646GiB
1766527111.227221,179.46%,4.65GiB
1766527113.2356129,170.40%,4.652GiB
1766527115.244415,156.63%,4.652GiB
1766527117.25595,258.02%,4.655GiB
1766527119.2628522,188.79%,4.658GiB
1766527121.264386,102.81%,4.648GiB
1766527123.271132,105.40%,4.656GiB
1766527125.283656,102.53%,4.661GiB
1766527127.291341,100.78%,4.667GiB
1766527129.297109,100.34%,4.671GiB
1766527131.303284,136.46%,4.682GiB
1766527133.3108978,102.84%,4.684GiB
1766527135.3134148,104.96%,4.686GiB
1766527137.3242319,99.92%,4.688GiB
1766527139.328248,100.69%,4.689GiB
1766527141.3352609,103.72%,4.96GiB
1766527143.3492322,91.44%,4.642GiB
1766527145.3743958,403.50%,4.667GiB
1766527147.382411,409.45%,4.673GiB
