Timestamp,CPU,Memory
1766485690.6421068,0.13%,88.69MiB
1766485693.158847,5.80%,88.71MiB
1766485695.180495,36.78%,179.3MiB
1766485697.1888142,36.80%,267.8MiB
1766485699.19197,32.78%,350.9MiB
1766485701.196762,37.86%,430.8MiB
1766485703.204305,43.66%,511.5MiB
1766485705.2320168,32.02%,592.6MiB
1766485707.215376,46.58%,676MiB
1766485709.224274,45.20%,758.8MiB
1766485711.2392151,52.56%,842.1MiB
1766485713.243123,50.12%,925.4MiB
1766485715.2559192,42.87%,998.1MiB
1766485717.264124,44.14%,1.056GiB
1766485719.2827861,46.54%,1.116GiB
1766485721.294073,200.22%,1.221GiB
1766485723.2968051,204.29%,1.302GiB
1766485725.328848,200.69%,1.363GiB
1766485727.315941,199.51%,1.421GiB
1766485729.316213,199.57%,1.464GiB
1766485731.3254762,199.75%,1.54GiB
1766485733.331908,207.05%,1.713GiB
1766485735.354244,199.43%,1.849GiB
1766485737.356674,199.69%,1.85GiB
1766485739.350423,199.03%,1.85GiB
1766485741.36012,199.71%,1.85GiB
1766485743.365301,205.90%,1.851GiB
1766485745.3762429,200.42%,1.851GiB
1766485747.375938,200.68%,1.853GiB
1766485749.384615,199.47%,2.122GiB
1766485751.388785,199.44%,2.076GiB
1766485753.388418,205.30%,2.076GiB
1766485755.394845,199.88%,2.076GiB
1766485757.4132202,200.55%,2.077GiB
1766485759.4150872,199.54%,2.178GiB
1766485761.424625,207.09%,2.281GiB
1766485763.43441,212.09%,2.408GiB
1766485765.452578,199.44%,2.543GiB
1766485767.4482071,207.65%,2.599GiB
1766485769.48189,201.29%,2.613GiB
1766485771.475859,200.22%,2.617GiB
1766485773.4763808,113.26%,2.369GiB
1766485775.4950552,102.85%,2.404GiB
1766485777.515168,259.17%,2.109GiB
1766485779.525314,257.21%,2.111GiB
