Timestamp,CPU,Memory
1766442890.3094158,1.18%,4.46GiB
1766442892.818136,1.43%,4.461GiB
1766442894.826742,160.15%,4.491GiB
1766442896.83635,122.31%,4.493GiB
1766442898.8556721,110.76%,4.495GiB
1766442900.848885,103.93%,4.499GiB
1766442902.854476,97.85%,4.5GiB
1766442904.860367,120.75%,4.501GiB
1766442906.870363,96.71%,4.503GiB
1766442908.875603,96.27%,4.504GiB
1766442910.879862,119.75%,4.506GiB
1766442912.883917,97.12%,4.507GiB
1766442914.8921332,99.97%,4.508GiB
1766442916.9013069,95.17%,4.51GiB
1766442918.9039328,95.04%,4.511GiB
1766442920.907674,96.18%,4.512GiB
1766442922.9093802,96.69%,4.514GiB
1766442924.9190059,95.63%,4.516GiB
1766442926.921612,110.24%,4.517GiB
1766442928.9260821,97.14%,4.518GiB
1766442930.932561,96.02%,4.519GiB
1766442932.939208,96.53%,4.52GiB
1766442934.9464262,96.66%,4.522GiB
1766442936.953266,96.30%,4.523GiB
1766442938.9577222,96.69%,4.524GiB
1766442940.961071,187.89%,4.546GiB
1766442942.969465,116.53%,4.558GiB
1766442944.9819798,141.18%,4.57GiB
1766442946.989027,93.59%,4.575GiB
1766442948.9933708,4.34%,4.562GiB
1766442951.023211,3.38%,4.557GiB
1766442953.019958,3.82%,4.557GiB
1766442955.0347352,1.35%,4.557GiB
1766442957.06079,2.04%,4.557GiB
1766442959.072208,2.31%,4.557GiB
1766442961.0769181,2.46%,4.557GiB
1766442963.090795,3.02%,4.557GiB
1766442965.106209,1.92%,4.557GiB
1766442967.1239412,2.05%,4.557GiB
1766442969.140379,1.35%,4.557GiB
1766442971.147286,1.58%,4.557GiB
1766442973.1740239,3.03%,4.557GiB
1766442975.198493,3.05%,4.558GiB
1766442977.218026,3.16%,4.558GiB
1766442979.232843,2.09%,4.558GiB
1766442981.254178,7.33%,4.558GiB
1766442983.264704,4.04%,4.558GiB
1766442985.285544,2.58%,4.558GiB
1766442987.294118,1.86%,4.558GiB
1766442989.3043468,2.06%,4.558GiB
1766442991.321555,1.17%,4.558GiB
1766442993.338919,2.49%,4.558GiB
1766442995.35725,2.03%,4.558GiB
1766442997.3806348,2.27%,4.558GiB
1766442999.394751,1.37%,4.558GiB
1766443001.4160519,7.16%,4.558GiB
1766443003.422679,2.85%,4.558GiB
1766443005.433196,3.59%,4.558GiB
1766443007.440313,3.18%,4.558GiB
