Timestamp,CPU,Memory
1766446175.976777,0.14%,83.82MiB
1766446178.501943,24.45%,94.75MiB
1766446180.502568,39.24%,184.4MiB
1766446182.5351932,36.01%,265.2MiB
1766446184.542409,34.39%,346MiB
1766446186.5451462,35.43%,429MiB
1766446188.5494971,38.91%,516.9MiB
1766446190.560118,33.13%,597.8MiB
1766446192.5695128,52.70%,686.9MiB
1766446194.578131,45.20%,767.4MiB
1766446196.589772,43.90%,847.9MiB
1766446198.594902,50.02%,937.5MiB
1766446200.603263,45.23%,1020MiB
1766446202.616014,40.91%,1.073GiB
1766446204.6200252,202.28%,1.199GiB
1766446206.6255,199.94%,1.281GiB
1766446208.632297,203.38%,1.343GiB
1766446210.6329641,199.37%,1.407GiB
1766446212.6539059,199.81%,1.448GiB
1766446214.6543412,199.17%,1.52GiB
1766446216.6741672,199.55%,1.686GiB
1766446218.669858,202.38%,1.844GiB
1766446220.67964,200.07%,1.845GiB
1766446222.698999,199.80%,1.845GiB
1766446224.703128,200.03%,1.845GiB
1766446226.711128,199.21%,1.846GiB
1766446228.7161942,202.89%,1.847GiB
1766446230.721279,199.72%,1.914GiB
1766446232.728321,199.48%,2.124GiB
1766446234.733473,199.48%,2.073GiB
1766446236.746678,200.22%,2.073GiB
1766446238.7488372,204.06%,2.074GiB
1766446240.7571788,198.80%,2.073GiB
1766446242.767362,200.39%,2.208GiB
1766446244.7760792,200.78%,2.32GiB
1766446246.780824,200.22%,2.463GiB
1766446248.7976341,203.63%,2.587GiB
1766446250.801564,199.41%,2.603GiB
1766446252.807334,199.77%,2.612GiB
1766446254.8115258,106.87%,2.359GiB
1766446256.818963,101.75%,2.368GiB
