Timestamp,CPU,Memory
1766442562.994418,1.68%,4.456GiB
1766442565.533539,55.48%,4.471GiB
1766442567.5192242,154.78%,4.493GiB
1766442569.526655,144.30%,4.497GiB
1766442571.53617,102.44%,4.5GiB
1766442573.5441458,97.46%,4.504GiB
1766442575.5487108,115.10%,4.505GiB
1766442577.556552,106.10%,4.506GiB
1766442579.566565,97.59%,4.507GiB
1766442581.56959,97.05%,4.508GiB
1766442583.574343,98.00%,4.51GiB
1766442585.579686,97.64%,4.512GiB
1766442587.585875,96.43%,4.513GiB
1766442589.5905201,98.72%,4.514GiB
1766442591.5947578,93.74%,4.516GiB
1766442593.609239,95.43%,4.517GiB
1766442595.6130402,94.85%,4.518GiB
1766442597.61939,95.53%,4.519GiB
1766442599.626845,100.06%,4.52GiB
1766442601.62775,95.13%,4.521GiB
1766442603.632712,99.70%,4.523GiB
1766442605.6379678,98.89%,4.524GiB
1766442607.641539,96.54%,4.525GiB
1766442609.648364,84.73%,4.526GiB
1766442611.656411,95.27%,4.527GiB
1766442613.66141,223.32%,4.573GiB
1766442615.667207,117.73%,4.565GiB
1766442617.670186,136.29%,4.582GiB
1766442619.685312,89.32%,4.582GiB
1766442621.6967108,3.42%,4.564GiB
1766442623.719601,2.64%,4.564GiB
1766442625.7381802,3.76%,4.565GiB
1766442627.737601,2.58%,4.565GiB
1766442629.764565,2.49%,4.565GiB
1766442631.776041,2.80%,4.565GiB
1766442633.79919,2.37%,4.565GiB
1766442635.81575,2.66%,4.565GiB
1766442637.821892,1.73%,4.565GiB
1766442639.847924,2.63%,4.565GiB
1766442641.862344,1.76%,4.565GiB
1766442643.882327,1.99%,4.565GiB
1766442645.89766,2.12%,4.565GiB
1766442647.907944,3.21%,4.565GiB
1766442649.9221902,2.00%,4.565GiB
1766442651.934128,1.81%,4.565GiB
1766442653.948855,2.19%,4.565GiB
1766442655.966369,2.95%,4.565GiB
1766442657.972352,2.45%,4.565GiB
1766442659.991389,2.41%,4.565GiB
1766442662.002437,2.89%,4.565GiB
1766442664.027404,1.92%,4.565GiB
1766442666.039287,1.87%,4.565GiB
1766442668.051851,4.59%,4.565GiB
1766442670.05904,1.60%,4.565GiB
1766442672.074798,2.01%,4.565GiB
1766442674.090646,4.24%,4.566GiB
1766442676.098335,3.93%,4.566GiB
1766442678.109351,4.01%,4.565GiB
1766442680.125885,2.71%,4.565GiB
