Timestamp,CPU,Memory
1766442461.864287,0.08%,81.84MiB
1766442464.3893561,2.88%,81.84MiB
1766442466.384098,32.05%,184.6MiB
1766442468.392483,34.27%,263.2MiB
1766442470.395544,37.51%,344.2MiB
1766442472.405076,36.93%,423.9MiB
1766442474.416001,40.14%,513.6MiB
1766442476.418388,34.97%,595.8MiB
1766442478.424187,54.13%,683.7MiB
1766442480.432651,47.62%,767.3MiB
1766442482.442703,47.27%,856.5MiB
1766442484.452014,42.67%,939.2MiB
1766442486.454648,42.08%,1022MiB
1766442488.4642901,41.72%,1.083GiB
1766442490.4694998,200.30%,1.21GiB
1766442492.482215,199.62%,1.294GiB
1766442494.484531,201.97%,1.361GiB
1766442496.491765,201.95%,1.418GiB
1766442498.4964852,199.68%,1.467GiB
1766442500.502895,199.67%,1.569GiB
1766442502.514706,199.69%,1.832GiB
1766442504.513288,202.48%,1.843GiB
1766442506.5198028,201.65%,1.843GiB
1766442508.525389,199.86%,1.844GiB
1766442510.53191,200.59%,1.844GiB
1766442512.542664,199.44%,1.844GiB
1766442514.5477388,202.07%,1.845GiB
1766442516.554267,205.33%,2.077GiB
1766442518.6209059,199.88%,2.069GiB
1766442520.574838,199.44%,2.069GiB
1766442522.5846589,200.03%,2.07GiB
1766442524.584967,202.18%,2.07GiB
1766442526.591635,201.60%,2.07GiB
1766442528.5985081,199.60%,2.249GiB
1766442530.602495,200.59%,2.392GiB
1766442532.608478,199.23%,2.536GiB
1766442534.61248,202.88%,2.594GiB
1766442536.636207,202.14%,2.609GiB
1766442538.6318011,196.36%,2.342GiB
1766442540.638001,92.45%,2.366GiB
1766442542.646048,249.27%,2.1GiB
